Texto,Emoción
¡Esa montaña rusa fue increíblemente emocionante! (Variación 75),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 51),Felicidad
"Perdí a mi mejor amigo, me siento muy solo.",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 95),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 133),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 114),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 98),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 46),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 24),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 25),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 141),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 113),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 119),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños.,Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 133)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 4),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 142),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 104),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 25),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 142),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 96),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 44),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 5),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 14),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 53),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 80),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 83),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 133),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 18),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 124),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 20),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 139),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 61),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 148),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 135),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 42),Miedo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 138),Sorpresa
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 49),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 1),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 87),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 71),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 45),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 48),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 65),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 55),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 15)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 69)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 122)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 133),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 144),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 134)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 116)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 128),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 98)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 70)",Tristeza
No puedo creer que me hayan mentido de esa manera. (Variación 96),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 118),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 23),Felicidad
No puedo soportar el olor de la comida descompuesta. (Variación 67),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 147)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 137),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 27),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 65),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 83),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 31),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 132),Asco
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 39),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 134),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 130)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 8)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 53),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 76),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 84),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 45),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 47),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 35)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 33),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 145),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 79)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 40),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 25)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 72)",Tristeza
¡Esa montaña rusa fue increíblemente emocionante! (Variación 40),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 95),Sorpresa
"Perdí a mi mejor amigo, me siento muy solo. (Variación 38)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 49),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 66),Enojo
No puedo creer que me hayan mentido de esa manera. (Variación 83),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 111),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 34),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 52),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 116)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 63),Asco
No puedo creer que me hayan mentido de esa manera. (Variación 65),Enojo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 36),Miedo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 129)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 23)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 74),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 34),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 145),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 118),Enojo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 83),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 55),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 6),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 103),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 17),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 73),Asco
¡Esa montaña rusa fue increíblemente emocionante! (Variación 119),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 44),Sorpresa
¡Esa montaña rusa fue increíblemente emocionante! (Variación 44),Sorpresa
No puedo creer que me hayan mentido de esa manera. (Variación 37),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 99),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 93),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 106),Enojo
No puedo soportar el olor de la comida descompuesta. (Variación 27),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 135)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 9),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 14),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 24),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 62),Miedo
No puedo soportar el olor de la comida descompuesta. (Variación 66),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 15)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 139)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 11)",Tristeza
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 59),Felicidad
"Perdí a mi mejor amigo, me siento muy solo. (Variación 6)",Tristeza
No puedo soportar el olor de la comida descompuesta. (Variación 96),Asco
No puedo soportar el olor de la comida descompuesta. (Variación 136),Asco
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 52),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 66),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 146),Felicidad
No puedo creer que me hayan mentido de esa manera. (Variación 102),Enojo
¡Esa montaña rusa fue increíblemente emocionante! (Variación 118),Sorpresa
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 134),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 111),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 49),Felicidad
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 140),Felicidad
¡Esa montaña rusa fue increíblemente emocionante! (Variación 131),Sorpresa
No puedo soportar el olor de la comida descompuesta. (Variación 60),Asco
"Perdí a mi mejor amigo, me siento muy solo. (Variación 143)",Tristeza
"Perdí a mi mejor amigo, me siento muy solo. (Variación 92)",Tristeza
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 126),Miedo
Gané la lotería y puedo comprar la casa de mis sueños. (Variación 108),Felicidad
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 35),Miedo
Escuchar esos ruidos por la noche me da mucho miedo. (Variación 74),Miedo
No puedo creer que me hayan mentido de esa manera. (Variación 119),Enojo
"Perdí a mi mejor amigo, me siento muy solo. (Variación 35)",Tristeza
